trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",20,0,-74.87190584516898,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.002, 'e': 0.9999980000006666}",25,0,-129.51291122766708,"{0: 13, 1: 5, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.002, 'e': 0.9999920000106667}",25,0,-115.02041647893968,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.002, 'e': 0.999982000054}",20,11,-100.59182376040661,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 2}",1
5,False,"{'a': 0.002, 'e': 0.9999680001706663}",30,0,-186.50015463375146,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
6,False,"{'a': 0.002, 'e': 0.9999500004166653}",20,0,-120.10419773911826,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.002, 'e': 0.9999280008639958}",20,0,-80.01028329809803,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.002, 'e': 0.9999020016006562}",20,0,-100.45229847523612,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.002, 'e': 0.9998720027306434}",30,0,-174.57735120656275,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.002, 'e': 0.9998380043739528}",30,0,-94.77421252984422,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.002, 'e': 0.9998000066665778}",20,0,-143.78844509508184,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
12,False,"{'a': 0.002, 'e': 0.9997580097605092}",20,0,-89.53728831471227,"{0: 11, 1: 6, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.002, 'e': 0.9997120138237345}",25,0,-180.11514930110633,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
14,False,"{'a': 0.002, 'e': 0.9996620190402377}",20,0,-143.84222116919148,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.002, 'e': 0.9996080256099974}",35,0,-356.21619350313114,"{0: 18, 1: 3, 2: 4, 3: 4, 4: 6}",0
16,False,"{'a': 0.002, 'e': 0.9995500337489875}",30,0,-103.15237531848082,"{0: 17, 1: 4, 2: 8, 3: 1, 4: 0}",0
17,False,"{'a': 0.002, 'e': 0.9994880436891754}",20,0,-59.014617345052585,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.002, 'e': 0.9994220556785212}",20,0,-164.73646033772494,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
19,False,"{'a': 0.002, 'e': 0.9993520699809768}",25,17,10.715590906426309,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.002, 'e': 0.9992780868764849}",30,0,-77.17062938261849,"{0: 19, 1: 2, 2: 9, 3: 0, 4: 0}",0
21,False,"{'a': 0.002, 'e': 0.9992001066609779}",25,0,-142.55152069843007,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
22,False,"{'a': 0.002, 'e': 0.9991181296463766}",20,0,-48.688538475978014,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
23,False,"{'a': 0.002, 'e': 0.9990321561605888}",25,3,-145.82277564770354,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 2}",1
24,False,"{'a': 0.002, 'e': 0.9989421865475084}",20,0,-42.01573636973957,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",1
25,False,"{'a': 0.002, 'e': 0.9988482211670138}",20,0,-60.22945803203388,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
26,False,"{'a': 0.002, 'e': 0.9987502603949663}",30,4,-90.73684374741542,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 1}",1
27,False,"{'a': 0.002, 'e': 0.9986483046232089}",30,0,-239.2620968273599,"{0: 14, 1: 4, 2: 7, 3: 2, 4: 3}",0
28,False,"{'a': 0.002, 'e': 0.9985423542595644}",25,0,-172.16475386106342,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
29,False,"{'a': 0.002, 'e': 0.9984324097278344}",25,0,-68.68058253024202,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",1
30,False,"{'a': 0.002, 'e': 0.9983184714677966}",25,0,-115.04074952938346,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
31,False,"{'a': 0.002, 'e': 0.9982005399352042}",25,0,-57.570525758982434,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
32,False,"{'a': 0.002, 'e': 0.9980786156017829}",25,0,-116.83580075557317,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
33,False,"{'a': 0.002, 'e': 0.99795269895523}",25,0,-69.7307104030877,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
34,False,"{'a': 0.002, 'e': 0.9978227904992117}",20,0,-179.36448381012,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
35,False,"{'a': 0.002, 'e': 0.9976888907533621}",20,0,-79.14098506938012,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
36,False,"{'a': 0.002, 'e': 0.9975510002532796}",35,0,-200.8832681115338,"{0: 19, 1: 3, 2: 7, 3: 5, 4: 1}",0
37,False,"{'a': 0.002, 'e': 0.9974091195505261}",25,0,-113.95163685620383,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
38,False,"{'a': 0.002, 'e': 0.9972632492126244}",30,0,-134.85093509363935,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
39,False,"{'a': 0.002, 'e': 0.9971133898230555}",20,0,-173.29388482524863,"{0: 11, 1: 3, 2: 1, 3: 2, 4: 3}",0
40,False,"{'a': 0.002, 'e': 0.9969595419812568}",20,0,-166.20038018489134,"{0: 6, 1: 6, 2: 6, 3: 0, 4: 2}",0
41,False,"{'a': 0.002, 'e': 0.9968017063026194}",20,0,-47.68792269829153,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
42,False,"{'a': 0.002, 'e': 0.9966398834184859}",25,0,-129.81274469949298,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
43,False,"{'a': 0.002, 'e': 0.9964740739761475}",25,0,-19.56704581073571,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
44,False,"{'a': 0.002, 'e': 0.996304278638842}",25,0,-144.46909979070236,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
45,False,"{'a': 0.002, 'e': 0.9961304980857502}",20,0,-90.40691496691028,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
46,False,"{'a': 0.002, 'e': 0.9959527330119943}",20,0,-123.34433743667817,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
47,False,"{'a': 0.002, 'e': 0.9957709841286342}",35,0,-148.6446154991783,"{0: 20, 1: 8, 2: 5, 3: 0, 4: 2}",0
48,False,"{'a': 0.002, 'e': 0.9955852521626654}",20,0,-89.85246751537103,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
49,False,"{'a': 0.002, 'e': 0.9953955378570153}",20,0,-101.77729768782132,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
50,False,"{'a': 0.002, 'e': 0.995201841970541}",25,0,-141.3985559168137,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
51,False,"{'a': 0.002, 'e': 0.9950041652780257}",20,0,-84.81651388375602,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
52,False,"{'a': 0.002, 'e': 0.994802508570176}",20,9,-90.44481312313643,"{0: 5, 1: 0, 2: 4, 3: 1, 4: 1}",1
53,False,"{'a': 0.002, 'e': 0.9945968726536185}",20,0,-139.5610164748798,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
54,False,"{'a': 0.002, 'e': 0.9943872583508965}",30,0,-185.42736716639894,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
55,False,"{'a': 0.002, 'e': 0.9941736665004669}",30,15,-4.886988899910477,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.002, 'e': 0.9939560979566968}",25,0,-169.06918070637377,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
57,False,"{'a': 0.002, 'e': 0.9937345535898603}",25,12,-13.326926431753753,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.002, 'e': 0.9935090342861344}",20,7,-60.13872539007016,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 1}",1
59,False,"{'a': 0.002, 'e': 0.9932795409475959}",25,0,-130.21638930606105,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
60,False,"{'a': 0.002, 'e': 0.993046074492218}",35,0,-165.94167492692847,"{0: 20, 1: 5, 2: 8, 3: 0, 4: 2}",0
61,False,"{'a': 0.002, 'e': 0.9928086358538663}",30,0,-157.68727004681324,"{0: 15, 1: 3, 2: 10, 3: 1, 4: 1}",0
62,False,"{'a': 0.002, 'e': 0.9925672259822949}",25,0,-123.44022348608658,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
63,False,"{'a': 0.002, 'e': 0.9923218458431429}",35,12,-69.60514631053931,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 1}",1
64,False,"{'a': 0.002, 'e': 0.9920724964179307}",20,0,-87.77860292041616,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
65,False,"{'a': 0.002, 'e': 0.9918191787040556}",20,0,-110.72412242766572,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
66,False,"{'a': 0.002, 'e': 0.9915618937147881}",25,0,-127.7196010542118,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
67,False,"{'a': 0.002, 'e': 0.9913006424792677}",25,0,-192.4116741569815,"{0: 8, 1: 4, 2: 10, 3: 2, 4: 1}",0
68,False,"{'a': 0.002, 'e': 0.9910354260424993}",20,0,-63.207606205683106,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",0
69,False,"{'a': 0.002, 'e': 0.990766245465348}",25,0,-155.13877950787096,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
70,False,"{'a': 0.002, 'e': 0.9904931018245359}",25,0,-176.55840555128609,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
71,False,"{'a': 0.002, 'e': 0.9902159962126371}",20,0,-29.98699010894666,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
72,False,"{'a': 0.002, 'e': 0.9899349297380738}",25,0,-139.13037668970514,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
73,False,"{'a': 0.002, 'e': 0.9896499035251115}",30,0,-193.54734030837395,"{0: 15, 1: 8, 2: 3, 3: 1, 4: 3}",0
74,False,"{'a': 0.002, 'e': 0.9893609187138546}",20,0,-65.20763298668797,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
75,False,"{'a': 0.002, 'e': 0.989067976460242}",30,0,-127.18041471337239,"{0: 19, 1: 3, 2: 4, 3: 3, 4: 1}",0
76,False,"{'a': 0.002, 'e': 0.9887710779360422}",20,0,-156.89027580417357,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
77,False,"{'a': 0.002, 'e': 0.9884702243288492}",20,0,-59.813832723885696,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
78,False,"{'a': 0.002, 'e': 0.9881654168420767}",20,0,-176.88617399231126,"{0: 9, 1: 3, 2: 3, 3: 3, 4: 2}",0
79,False,"{'a': 0.002, 'e': 0.9878566566949545}",20,0,-85.35676355349447,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
80,False,"{'a': 0.002, 'e': 0.9875439451225226}",30,0,-131.78257803589588,"{0: 16, 1: 6, 2: 6, 3: 1, 4: 1}",0
81,False,"{'a': 0.002, 'e': 0.9872272833756269}",20,0,-139.30833349990107,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
82,False,"{'a': 0.002, 'e': 0.986906672720914}",20,0,-189.92015207599877,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
83,False,"{'a': 0.002, 'e': 0.9865821144408262}",25,0,-124.25912559790737,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
