trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.11578130553514793}",20,9,-24.13777797298671,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
43,False,"{'a': 0.01, 'e': 0.11078130553514792}",25,5,-38.87102406548434,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
44,False,"{'a': 0.01, 'e': 0.10578130553514792}",20,0,-53.41983407182132,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.10078130553514791}",30,4,-34.06073481436808,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 1}",1
46,False,"{'a': 0.01, 'e': 0.09578130553514791}",30,0,13.9571513508305,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.0907813055351479}",25,15,-15.91148980365891,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
48,False,"{'a': 0.01, 'e': 0.0857813055351479}",20,0,27.80886034453444,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.01, 'e': 0.0807813055351479}",30,7,11.983843445893818,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.01, 'e': 0.07578130553514789}",20,0,-113.60592499857238,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.07078130553514789}",20,12,12.911943075525125,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.01, 'e': 0.06578130553514788}",25,0,-45.51985507187475,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.060781305535147885}",25,0,-10.749532160643767,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.05578130553514789}",25,0,24.594570778573114,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.05078130553514789}",20,7,20.159148685432946,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.01, 'e': 0.04578130553514789}",30,8,26.9085937571231,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.040781305535147895}",25,0,-59.29179176187341,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
58,False,"{'a': 0.01, 'e': 0.0357813055351479}",30,7,26.20916066330259,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.030781305535147897}",25,0,13.042076853840664,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
60,False,"{'a': 0.01, 'e': 0.025781305535147896}",20,0,-11.49768922490665,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.020781305535147895}",30,0,-14.333957664396182,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.015781305535147894}",20,0,0.5230254698165635,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
63,False,"{'a': 0.01, 'e': 0.010781305535147893}",20,14,10.349313935997783,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.01, 'e': 0.005781305535147893}",25,0,-18.162621020573287,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.0007813055351478925}",20,9,-39.13319914613572,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,8,19.63972519346166,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,16,13.01161581316834,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,24.92820290000212,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,25.23394326609791,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
