trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 1.0}",20,0,-127.51191026075426,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
2,False,"{'a': 0.001, 'e': 0.9999995000000417}",25,0,-119.07551135165703,"{0: 13, 1: 4, 2: 5, 3: 3, 4: 0}",0
3,False,"{'a': 0.001, 'e': 0.9999980000006666}",30,0,-118.294847443308,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.001, 'e': 0.999995500003375}",30,0,-180.5387456941041,"{0: 13, 1: 5, 2: 9, 3: 2, 4: 1}",0
5,False,"{'a': 0.001, 'e': 0.9999920000106667}",20,0,-95.74995612755421,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.001, 'e': 0.9999875000260416}",25,0,-153.40935882445308,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.001, 'e': 0.999982000054}",35,0,-286.6673450367167,"{0: 16, 1: 4, 2: 10, 3: 1, 4: 4}",0
8,False,"{'a': 0.001, 'e': 0.9999755001000415}",25,0,-98.5554258492903,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.001, 'e': 0.9999680001706663}",20,0,-94.14344771095755,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.001, 'e': 0.9999595002733742}",25,0,-51.122365570874116,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.001, 'e': 0.9999500004166653}",20,0,-105.68226515347048,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.001, 'e': 0.9999395006100392}",20,0,-90.43143342983359,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.001, 'e': 0.9999280008639958}",20,0,-200.25251538891624,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
14,False,"{'a': 0.001, 'e': 0.9999155011900349}",25,0,-84.75706588813107,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
15,False,"{'a': 0.001, 'e': 0.9999020016006562}",30,0,-120.62026687764904,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.001, 'e': 0.9998875021093592}",35,0,-116.23438727228448,"{0: 26, 1: 3, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.001, 'e': 0.9998720027306434}",20,4,-88.4474646212738,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 1}",1
18,False,"{'a': 0.001, 'e': 0.9998555034800082}",25,0,-176.26112912326167,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
19,False,"{'a': 0.001, 'e': 0.9998380043739528}",20,0,-89.64706954911895,"{0: 12, 1: 5, 2: 0, 3: 2, 4: 1}",0
20,False,"{'a': 0.001, 'e': 0.9998195054299763}",25,0,-243.48552613512152,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
21,False,"{'a': 0.001, 'e': 0.9998000066665778}",20,0,-89.55183021950785,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
22,False,"{'a': 0.001, 'e': 0.9997795081032559}",20,0,-95.13726038121172,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
23,False,"{'a': 0.001, 'e': 0.9997580097605092}",30,1,-173.55591160238734,"{0: 18, 1: 1, 2: 5, 3: 3, 4: 2}",1
24,False,"{'a': 0.001, 'e': 0.9997355116598361}",20,0,-147.9108353084442,"{0: 10, 1: 3, 2: 2, 3: 4, 4: 1}",0
25,False,"{'a': 0.001, 'e': 0.9997120138237345}",25,0,-81.64287969675817,"{0: 18, 1: 3, 2: 1, 3: 2, 4: 1}",0
26,False,"{'a': 0.001, 'e': 0.9996875162757026}",25,0,-125.40719829949913,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
27,False,"{'a': 0.001, 'e': 0.9996620190402377}",20,0,-185.58712948320346,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
28,False,"{'a': 0.001, 'e': 0.9996355221428369}",25,2,-168.15075486860636,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 3}",1
29,False,"{'a': 0.001, 'e': 0.9996080256099974}",35,0,-169.5572506006441,"{0: 23, 1: 1, 2: 7, 3: 2, 4: 2}",0
30,False,"{'a': 0.001, 'e': 0.9995795294692156}",30,0,-167.22635619482162,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
