trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.07956356727854007}",20,0,-31.61062173540073,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.5477292602242685}",25,0,-195.24288034574388,"{0: 18, 1: 0, 2: 0, 3: 3, 4: 4}",0
44,False,"{'a': 0.5, 'e': 0.8817917275413242}",20,0,-123.53023452093129,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.9999608263946371}",30,0,-102.3993925524896,"{0: 16, 1: 4, 2: 10, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.8733046400935156}",30,17,-75.34593268518097,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.5328330203333975}",30,0,-62.98970297178134,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.061905293994420546}",25,0,-16.223645645208702,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.4241790073369969}",25,0,-9.646499491307024,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.8064094939122546}",25,0,-75.63959646514608,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9912028118634736}",25,0,-87.47770055013143,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.933315112063922}",20,0,-7.717142338988152,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.6469193223286404}",25,0,-21.338593646360973,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.202135120387182}",20,5,21.08181564195267,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.2921388087338362}",20,0,21.565332177263986,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.7148869687796651}",25,6,-141.1723271643848,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 2}",1
57,False,"{'a': 0.5, 'e': 0.9626058663135666}",30,0,-143.96481028519509,"{0: 18, 1: 1, 2: 8, 3: 2, 4: 1}",0
