trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
65,True,"{'a': 0, 'e': 0}",30,0,14.177285581786217,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
66,True,"{'a': 0, 'e': 0}",20,0,0.2034444571643771,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
67,True,"{'a': 0, 'e': 0}",20,0,-34.69595024718483,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
68,True,"{'a': 0, 'e': 0}",25,0,29.176531829545443,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,True,"{'a': 0, 'e': 0}",25,0,26.789845901854136,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
70,True,"{'a': 0, 'e': 0}",30,0,20.331321191487966,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
71,True,"{'a': 0, 'e': 0}",20,4,3.358159258354936,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
72,True,"{'a': 0, 'e': 0}",20,0,27.398616807120096,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,True,"{'a': 0, 'e': 0}",25,0,25.633684299651897,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
74,True,"{'a': 0, 'e': 0}",25,0,-2.677265401169243,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
75,True,"{'a': 0, 'e': 0}",30,10,20.394172876035626,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,True,"{'a': 0, 'e': 0}",20,0,1.4976505480316054,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
77,True,"{'a': 0, 'e': 0}",25,10,22.700183718544068,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,True,"{'a': 0, 'e': 0}",20,0,13.395249481351607,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
79,True,"{'a': 0, 'e': 0}",20,0,29.08054785606525,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
80,True,"{'a': 0, 'e': 0}",20,0,18.952455968441264,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
81,True,"{'a': 0, 'e': 0}",20,0,16.557317627636632,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
82,True,"{'a': 0, 'e': 0}",25,9,-0.4476271388358848,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
83,True,"{'a': 0, 'e': 0}",20,0,24.84492140049132,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,True,"{'a': 0, 'e': 0}",20,8,18.029235573935456,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,True,"{'a': 0, 'e': 0}",30,0,41.63611459031719,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,True,"{'a': 0, 'e': 0}",25,0,6.694141285221285,"{0: 20, 1: 5, 2: 0, 3: 0, 4: 0}",0
87,True,"{'a': 0, 'e': 0}",25,0,-18.927661449201413,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
88,True,"{'a': 0, 'e': 0}",20,6,24.62766762931415,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,True,"{'a': 0, 'e': 0}",20,3,26.808722929831884,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,True,"{'a': 0, 'e': 0}",20,12,1.4793372098645186,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,True,"{'a': 0, 'e': 0}",25,0,22.75620213475267,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
92,True,"{'a': 0, 'e': 0}",20,0,-6.216370891483568,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
93,True,"{'a': 0, 'e': 0}",20,0,24.229903006600924,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
94,True,"{'a': 0, 'e': 0}",25,0,-0.800042864387513,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
95,True,"{'a': 0, 'e': 0}",25,0,25.50797276478369,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,True,"{'a': 0, 'e': 0}",25,0,8.284776635113243,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
97,True,"{'a': 0, 'e': 0}",20,0,33.56334242446746,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
98,True,"{'a': 0, 'e': 0}",20,0,27.03950951575074,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
99,True,"{'a': 0, 'e': 0}",25,10,3.138347788648302,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
100,True,"{'a': 0, 'e': 0}",25,0,18.668985826984365,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
