trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
44,False,"{'a': 0.5, 'e': 0.5799999999999998}",20,0,10.225338663590229,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.5749999999999998}",20,0,-44.8476178656484,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.5699999999999998}",20,0,-46.98249041604383,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.5649999999999998}",25,3,10.944692681011118,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.5599999999999998}",20,15,7.78714228037236,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.5549999999999998}",25,0,-86.68771539620327,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.5499999999999998}",20,0,-93.14664304442158,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.5449999999999998}",25,15,6.28057892467182,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.5399999999999998}",20,0,-69.98342932038128,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.5349999999999998}",20,7,-31.322178155005687,"{0: 10, 1: 1, 2: 0, 3: 2, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.5299999999999998}",25,0,-37.25673012045904,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.5249999999999998}",20,0,-65.48858694592039,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.5199999999999998}",25,7,-33.56393220402461,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.5149999999999998}",20,6,-48.70800830512631,"{0: 8, 1: 0, 2: 6, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.5099999999999998}",30,3,-138.4362352756685,"{0: 16, 1: 2, 2: 5, 3: 3, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.5049999999999998}",20,0,-76.74486130294004,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.4999999999999998}",30,0,-75.90216102534295,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.4949999999999998}",30,4,-42.9927865416,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.48999999999999977}",30,0,-101.34249677034771,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.48499999999999976}",20,8,5.792238824830436,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.47999999999999976}",20,10,-27.514052602059795,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.47499999999999976}",25,0,-45.05317156975763,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.46999999999999975}",20,0,-18.122517375704962,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.46499999999999975}",25,0,-47.05377140659142,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.45999999999999974}",30,0,-145.17923556445248,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 4}",0
69,False,"{'a': 0.5, 'e': 0.45499999999999974}",25,3,-39.547657580507604,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.44999999999999973}",20,0,-1.4157168789145962,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.44499999999999973}",20,0,-68.08746203563592,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.4399999999999997}",20,0,-29.312100772776585,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.4349999999999997}",20,13,-20.338599424530237,"{0: 4, 1: 2, 2: 0, 3: 1, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.4299999999999997}",30,0,-35.40164785522024,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.4249999999999997}",25,3,-7.956968477164826,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.4199999999999997}",25,0,-43.28583884361006,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.4149999999999997}",25,12,-55.35222110420001,"{0: 7, 1: 1, 2: 4, 3: 1, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.4099999999999997}",30,0,-4.962191362469294,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.4049999999999997}",30,10,12.755897452329659,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.3999999999999997}",20,0,-96.00325295015577,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.3949999999999997}",25,15,-57.038518691628994,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.3899999999999997}",30,0,-71.71518854790958,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.3849999999999997}",30,0,-102.9012960859735,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.37999999999999967}",20,4,6.597231213638299,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.37499999999999967}",30,2,-118.8300013446076,"{0: 20, 1: 2, 2: 2, 3: 2, 4: 2}",1
86,False,"{'a': 0.5, 'e': 0.36999999999999966}",20,2,-16.061017134154906,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.36499999999999966}",30,5,-56.18669479690986,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.35999999999999965}",20,5,-92.42964807253814,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 2}",1
89,False,"{'a': 0.5, 'e': 0.35499999999999965}",20,8,15.551673067327005,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-47.20334777179226,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.34499999999999964}",30,19,0.43085722367638213,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.33999999999999964}",20,13,-9.24946873400494,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.33499999999999963}",30,21,4.574755488495487,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3299999999999996}",20,15,-3.803800817340168,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.3249999999999996}",20,13,13.043993796355636,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.3199999999999996}",25,12,-13.351976076418037,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.3149999999999996}",25,0,8.888798601574113,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.3099999999999996}",25,12,24.561935753755243,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.3049999999999996}",25,8,-49.0693459358602,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
100,False,"{'a': 0.5, 'e': 0.2999999999999996}",20,0,-49.44024751351576,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.2949999999999996}",30,18,-65.3954914856766,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
102,False,"{'a': 0.5, 'e': 0.2899999999999996}",20,4,4.907104050197651,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.2849999999999996}",25,11,-3.234342836104885,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.2799999999999996}",25,0,6.574238302147723,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.2749999999999996}",20,4,-18.664046220560348,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.2699999999999996}",20,14,11.802326125547367,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.26499999999999957}",30,12,-28.096378640640904,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 1}",1
108,False,"{'a': 0.5, 'e': 0.25999999999999956}",20,12,-5.492115987964398,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
